categoria_id,descricao,nome,nr_musicas,playlist_id,uri
0JQ5DAt0tbjZptfcdMSKl3,Podcast episodes picked just for you,Daily Podcasts,0,37i9dQZF1EnOBYmteT8p3O,spotify:playlist:37i9dQZF1EnOBYmteT8p3O
0JQ5DAqbMKFz6FAsUtgAab,"Os lançamentos dessa semana incluem Ferrugem, Billie Eilish, MC Caveirinha e muito mais!",Novidades da Semana,67,37i9dQZF1DX34KNiFQJNVm,spotify:playlist:37i9dQZF1DX34KNiFQJNVm
0JQ5DAqbMKFLVaM30PMBm4,fecha os olhos e aperta o play: bem vindo ao verão do Rio de Janeiro! / Co-curada por @juliaana.farias,Verão do Rio de Janeiro,50,37i9dQZF1DWYRXTdDUeLwT,spotify:playlist:37i9dQZF1DWYRXTdDUeLwT
0JQ5DAqbMKFLVaM30PMBm4,Bem vindo ao verão de BH! co-curada por @diegoevictorhugo,Verão de BH,24,37i9dQZF1DWZjnMMy0dvW6,spotify:playlist:37i9dQZF1DWZjnMMy0dvW6
0JQ5DAqbMKFLVaM30PMBm4,Bem-vindo ao verão de Salvador! Co-curada por @rafaelaamoreira2,Verão de Salvador,50,37i9dQZF1DWWD6GaE8Tjoa,spotify:playlist:37i9dQZF1DWWD6GaE8Tjoa
0JQ5DAqbMKFLVaM30PMBm4,bem vindo ao verão de Manaus! Co-curada por @vito,Verão de Manaus,50,37i9dQZF1DX51JTw1cvYv7,spotify:playlist:37i9dQZF1DX51JTw1cvYv7
0JQ5DAqbMKFLVaM30PMBm4,Bem-vindo ao verão de São Paulo! Co-curada por @transpreta,Verão de São Paulo,40,37i9dQZF1DX3N4adN0GKR3,spotify:playlist:37i9dQZF1DX3N4adN0GKR3
0JQ5DAqbMKFLVaM30PMBm4,Bem-vindo ao verão de Belém! Co-curada por @tradutorparaense,Verão de Belém,49,37i9dQZF1DX1sXFKfm7uCv,spotify:playlist:37i9dQZF1DX1sXFKfm7uCv
0JQ5DAqbMKFLVaM30PMBm4,bem vindo ao verão de São Luís! Co-curada por @joaoferdnan,Verão de São Luís,49,37i9dQZF1DWZDpQqAkaolE,spotify:playlist:37i9dQZF1DWZDpQqAkaolE
0JQ5DAqbMKFLVaM30PMBm4,bem vindo ao verão de Porto Alegre! / Co-curada por @gaeltrombini,Verão de Porto Alegre,50,37i9dQZF1DX03HkoQnP0p0,spotify:playlist:37i9dQZF1DX03HkoQnP0p0
0JQ5DAqbMKFLVaM30PMBm4,bem vindo ao verão de Goiânia! Co-curada por @viviilandim,Verão de Goiânia,50,37i9dQZF1DX7PrCArhVuzK,spotify:playlist:37i9dQZF1DX7PrCArhVuzK
0JQ5DAqbMKFLVaM30PMBm4,bem vindo ao verão de Aracaju! Co-curada por @tamilegarcia,Verão de Aracaju,50,37i9dQZF1DWTGL00JYYKK6,spotify:playlist:37i9dQZF1DWTGL00JYYKK6
0JQ5DAqbMKFLVaM30PMBm4,"aqui tem feijoada hot dog com purê sushi farofa açaí cm peixe frito enfim desfrute / Foto: Mc Jacaré, Luan Pereira",PURO SUCO DO BRASIL,85,37i9dQZF1DWUSHGSJhLype,spotify:playlist:37i9dQZF1DWUSHGSJhLype
0JQ5DAqbMKFLVaM30PMBm4,Tem Sertanejo! Tem Funk! Tem Pagode! A melhor trilha pra embalar o seu churrasco.,Sol e Churrasco,100,37i9dQZF1DXb1oSegSL8id,spotify:playlist:37i9dQZF1DXb1oSegSL8id
0JQ5DAqbMKFLVaM30PMBm4,Um pouco de reggae pra acompanhar a brisa do mar.,Praiana,60,37i9dQZF1DX1AjDRHleN7v,spotify:playlist:37i9dQZF1DX1AjDRHleN7v
0JQ5DAqbMKFLVaM30PMBm4,Entre na onda com hits tropicais e remixes para curtir a praia com amigos.,Festa na Praia,70,37i9dQZF1DX41UmHm2vtav,spotify:playlist:37i9dQZF1DX41UmHm2vtav
0JQ5DAqbMKFLVaM30PMBm4,The summer needs dance hits 😎☀️,Summer Dance Hits 2024,120,37i9dQZF1DWZ7eJRBxKzdO,spotify:playlist:37i9dQZF1DWZ7eJRBxKzdO
0JQ5DAqbMKFLVaM30PMBm4,Vai curtir um dia no parque? A tarde com os amigos? É só dar play e sair pro sol.,Sol de Domingo,60,37i9dQZF1DWSRkJG9UvIz1,spotify:playlist:37i9dQZF1DWSRkJG9UvIz1
0JQ5DAqbMKFLVaM30PMBm4,Versões desplugadas para curtir um reggae com os pés na areia!,Luau Jah,75,37i9dQZF1DWYkosMCdlEHA,spotify:playlist:37i9dQZF1DWYkosMCdlEHA
0JQ5DAqbMKFLVaM30PMBm4,Home is where you park it.,Van Life,100,37i9dQZF1DX2ogDiL6nZJr,spotify:playlist:37i9dQZF1DX2ogDiL6nZJr
0JQ5DAqbMKFLVaM30PMBm4,Sambinhas selecionados especialmente pra você curtir um dia de sol.,Samba & água fresca,100,37i9dQZF1DWWXR7eYLCoKN,spotify:playlist:37i9dQZF1DWWXR7eYLCoKN
0JQ5DAqbMKFLVaM30PMBm4,Música brasileira e as cores de um pôr do sol para completar o seu dia.,Pôr do sol na areia,85,37i9dQZF1DWXHa19SBc9xY,spotify:playlist:37i9dQZF1DWXHa19SBc9xY
0JQ5DAqbMKFKGQWi5egawY,Simone Mendes e os maiores hits do país. O que tá bombando tá aqui.,Top Brasil,50,37i9dQZF1DX0FOF1IUWK1W,spotify:playlist:37i9dQZF1DX0FOF1IUWK1W
0JQ5DAqbMKFKGQWi5egawY,O melhor do sertanejo em uma só playlist! Foto: Felipe & Rodrigo,Esquenta Sertanejo,49,37i9dQZF1DXdSjVZQzv2tl,spotify:playlist:37i9dQZF1DXdSjVZQzv2tl
0JQ5DAqbMKFKGQWi5egawY,"Não Vou Namorar e os funks mais 🔑 do Brasil. Foto: DJ Ws da Igrejinha, DJ JOÃO PEREIRA, Mc Dudu Sk, MC TH DA SERRA",Funk Hits,50,37i9dQZF1DWTkIwO2HDifB,spotify:playlist:37i9dQZF1DWTkIwO2HDifB
0JQ5DAqbMKFKGQWi5egawY,Os sucessos e as novidades dos grandes nomes do pagode. Foto: Belo,Pagodeira,75,37i9dQZF1DWVjNkaVEkL3X,spotify:playlist:37i9dQZF1DWVjNkaVEkL3X
0JQ5DAqbMKFKGQWi5egawY,"Fique por dentro dos lançamentos e das músicas que estão na boca da galera. Foto: Luan Pereira, Murilo Huff",Potência Sertaneja,81,37i9dQZF1DX5lAV5ZGu9ik,spotify:playlist:37i9dQZF1DX5lAV5ZGu9ik
0JQ5DAqbMKFKGQWi5egawY,"Os hits do forró, arrocha, pagodão e bregadeira! Foto: Henry Freitas",Paredão Explode,59,37i9dQZF1DXcedEPj5nsZ0,spotify:playlist:37i9dQZF1DXcedEPj5nsZ0
0JQ5DAqbMKFKGQWi5egawY,o melhor do trap dá o play e aumenta! Foto: MC Caverinha,Trapperz Brasil,50,37i9dQZF1DWWr5uieiPUVM,spotify:playlist:37i9dQZF1DWWr5uieiPUVM
0JQ5DAqbMKFKGQWi5egawY,"As novidades do forró! Foto: MC Livinho, Mari Fernandez",FORRÓ 2.0,64,37i9dQZF1DWXFLyAKm1KMY,spotify:playlist:37i9dQZF1DWXFLyAKm1KMY
0JQ5DAqbMKFKGQWi5egawY,A palavra do Senhor na voz de grandes adoradores do Brasil. Foto: fhop music,Sucessos Gospel,75,37i9dQZF1DX0OEZC3cbQmU,spotify:playlist:37i9dQZF1DX0OEZC3cbQmU
0JQ5DAqbMKFKGQWi5egawY,ou vc dança ou o grave t balança,funk challenge,67,37i9dQZF1DWSlRNWoWejBr,spotify:playlist:37i9dQZF1DWSlRNWoWejBr
0JQ5DAqbMKFKGQWi5egawY,"As novidades do forró! Foto: MC Livinho, Mari Fernandez",FORRÓ 2.0,64,37i9dQZF1DWXFLyAKm1KMY,spotify:playlist:37i9dQZF1DWXFLyAKm1KMY
0JQ5DAqbMKFKGQWi5egawY,"Os hits do forró, arrocha, pagodão e bregadeira! Foto: Henry Freitas",Paredão Explode,59,37i9dQZF1DXcedEPj5nsZ0,spotify:playlist:37i9dQZF1DXcedEPj5nsZ0
0JQ5DAqbMKFKGQWi5egawY,"As novidades e hits do piseiro! Foto: Eric Land, MC PH",Pisadinha e Piseiro,80,37i9dQZF1DXcCxkJNppBVW,spotify:playlist:37i9dQZF1DXcCxkJNppBVW
0JQ5DAqbMKFKGQWi5egawY,"onde há 🔥 há BRASA! sentiu o calor? Foto: Manu, Xand Avião",BRASA,80,37i9dQZF1DX3vtb4am50ft,spotify:playlist:37i9dQZF1DX3vtb4am50ft
0JQ5DAqbMKFKGQWi5egawY,Pra vaqueirama de verdade. Foto: Thulio Milionário,Forró de Vaquejada,65,37i9dQZF1DWVzWEsonvUyr,spotify:playlist:37i9dQZF1DWVzWEsonvUyr
0JQ5DAqbMKFKGQWi5egawY,"hoje vc pisa...amanhã vc sofre!! Foto: Jonas Esticado, Mari Fernandez",pisa e sofre,60,37i9dQZF1DX0Mv9kGvSKmv,spotify:playlist:37i9dQZF1DX0Mv9kGvSKmv
0JQ5DAqbMKFKGQWi5egawY,"O melhor do forró romântico e do forró de favela. Foto: Iguinho e Lulinha, Xand Avião",Forró Romântico,60,37i9dQZF1DWTo645rcXEVL,spotify:playlist:37i9dQZF1DWTo645rcXEVL
0JQ5DAqbMKFKGQWi5egawY,"O forró tradicional,  o xote, o baião, todos reunidos pra dançar agarradinho. Foto: Elba Ramalho",Forró Pé de Serra,50,37i9dQZF1DX1JLGl05i0Pq,spotify:playlist:37i9dQZF1DX1JLGl05i0Pq
0JQ5DAqbMKFKGQWi5egawY,"O melhor da fusão do Forró com o Sertanejo. Foto: Michele Andrade, Priscila Senna",Forronejo,60,37i9dQZF1DXbkU0pC52xDz,spotify:playlist:37i9dQZF1DXbkU0pC52xDz
0JQ5DAqbMKFKGQWi5egawY,"Queeeima paredão! Pra forrozeiro sofrer dançando e dançar sofrendo, bora.",Bora arrochar,100,37i9dQZF1DXdXbKzsf80lE,spotify:playlist:37i9dQZF1DXdXbKzsf80lE
0JQ5DAqbMKFJCTDO6ndZMP,O melhor do sertanejo em uma só playlist! Foto: Felipe & Rodrigo,Esquenta Sertanejo,49,37i9dQZF1DXdSjVZQzv2tl,spotify:playlist:37i9dQZF1DXdSjVZQzv2tl
0JQ5DAqbMKFJCTDO6ndZMP,"Fique por dentro dos lançamentos e das músicas que estão na boca da galera. Foto: Luan Pereira, Murilo Huff",Potência Sertaneja,81,37i9dQZF1DX5lAV5ZGu9ik,spotify:playlist:37i9dQZF1DX5lAV5ZGu9ik
0JQ5DAqbMKFJCTDO6ndZMP,O melhor do sertanejo com aquela pegada de modão. Foto: César Menotti e Fabiano,Modão Sertanejo,69,37i9dQZF1DX3R59Eoqqsy8,spotify:playlist:37i9dQZF1DX3R59Eoqqsy8
0JQ5DAqbMKFJCTDO6ndZMP,"Pegue a viola, relaxe e curta o bom e velho sertanejo raiz. Foto: Teodoro & Sampaio",Sertanejo Raiz,50,37i9dQZF1DWXeSNtpjKSsO,spotify:playlist:37i9dQZF1DWXeSNtpjKSsO
0JQ5DAqbMKFJCTDO6ndZMP,"A mistura dos dois gêneros que os brasileiros amam ouvir! Foto: DENNIS, Ana Castela, Mc Gw",Funknejo,50,37i9dQZF1DWZLiXDryu4Fe,spotify:playlist:37i9dQZF1DWZLiXDryu4Fe
0JQ5DAqbMKFJCTDO6ndZMP,"Para sempre Rainha Marília Mendonça, que fortaleceu todas as mulheres do Sertanejo.",Rainhas do Sertanejo,75,37i9dQZF1DXcC14V9ZdJ9I,spotify:playlist:37i9dQZF1DXcC14V9ZdJ9I
0JQ5DAqbMKFJCTDO6ndZMP,O modão em clima desplugado. Foto: Ícaro & Gilmar,Sertanejo Acústico,71,37i9dQZF1DX5v2FFZSCfVW,spotify:playlist:37i9dQZF1DX5v2FFZSCfVW
0JQ5DAqbMKFJCTDO6ndZMP,Clássicos para embalar o seu coração sertanejo. Foto: Chitãozinho & Xororó,Clássicos Sertanejos,50,37i9dQZF1DX7IK76Iw6baR,spotify:playlist:37i9dQZF1DX7IK76Iw6baR
0JQ5DAqbMKFJCTDO6ndZMP,Esquenta Sertanejo apresenta... O Melhor do Sertanejo 2023,O Melhor de Esquenta Sertanejo 2023,50,37i9dQZF1DX2hYoMfUUte5,spotify:playlist:37i9dQZF1DX2hYoMfUUte5
0JQ5DAqbMKFJCTDO6ndZMP,"Os bruto, os rústico, os amante da roça, o orgulho caipira sertanejo. Foto: US Agroboy, DJ Chris no Beat",Brutaiada,50,37i9dQZF1DXbreaE9ZyXxb,spotify:playlist:37i9dQZF1DXbreaE9ZyXxb
0JQ5DAqbMKFJCTDO6ndZMP,"A mistura dos dois gêneros que os brasileiros amam ouvir! Foto: DENNIS, Ana Castela, Mc Gw",Funknejo,50,37i9dQZF1DWZLiXDryu4Fe,spotify:playlist:37i9dQZF1DWZLiXDryu4Fe
0JQ5DAqbMKFJCTDO6ndZMP,"Os bruto, os rústico, os amante da roça, o orgulho caipira sertanejo. Foto: US Agroboy, DJ Chris no Beat",Brutaiada,50,37i9dQZF1DXbreaE9ZyXxb,spotify:playlist:37i9dQZF1DXbreaE9ZyXxb
0JQ5DAqbMKFJCTDO6ndZMP,"O melhor da fusão do Forró com o Sertanejo. Foto: Michele Andrade, Priscila Senna",Forronejo,60,37i9dQZF1DXbkU0pC52xDz,spotify:playlist:37i9dQZF1DXbkU0pC52xDz
0JQ5DAqbMKFJCTDO6ndZMP,"O melhor da mistura do Pagode com o Sertanejo! Foto: Gabrielzinho, Diego & Victor Hugo",Pagonejo,75,37i9dQZF1DX8zzEIlrraBU,spotify:playlist:37i9dQZF1DX8zzEIlrraBU
0JQ5DAqbMKFJCTDO6ndZMP,Clássicos para embalar o seu coração sertanejo. Foto: Chitãozinho & Xororó,Clássicos Sertanejos,50,37i9dQZF1DX7IK76Iw6baR,spotify:playlist:37i9dQZF1DX7IK76Iw6baR
0JQ5DAqbMKFJCTDO6ndZMP,"Pegue a viola, relaxe e curta o bom e velho sertanejo raiz. Foto: Teodoro & Sampaio",Sertanejo Raiz,50,37i9dQZF1DWXeSNtpjKSsO,spotify:playlist:37i9dQZF1DWXeSNtpjKSsO
0JQ5DAqbMKFJCTDO6ndZMP,O melhor do sertanejo com aquela pegada de modão. Foto: César Menotti e Fabiano,Modão Sertanejo,69,37i9dQZF1DX3R59Eoqqsy8,spotify:playlist:37i9dQZF1DX3R59Eoqqsy8
0JQ5DAqbMKFJCTDO6ndZMP,This is Rionegro & Solimões. Todos os maiores hits em uma só playlist.,This Is Rionegro & Solimões,50,37i9dQZF1DZ06evO1LJ7ge,spotify:playlist:37i9dQZF1DZ06evO1LJ7ge
0JQ5DAqbMKFJCTDO6ndZMP,This is Edson & Hudson. Todos os maiores hits em uma só playlist.,This Is Edson & Hudson,50,37i9dQZF1DZ06evO3SFpRU,spotify:playlist:37i9dQZF1DZ06evO3SFpRU
0JQ5DAqbMKFJCTDO6ndZMP,This is Di Paullo & Paulino. Todos os maiores hits em uma só playlist.,This Is Di Paullo & Paulino,50,37i9dQZF1DZ06evO0Fj4S8,spotify:playlist:37i9dQZF1DZ06evO0Fj4S8
0JQ5DAqbMKFCkm2Enfbj7Y,"Não Vou Namorar e os funks mais 🔑 do Brasil. Foto: DJ Ws da Igrejinha, DJ JOÃO PEREIRA, Mc Dudu Sk, MC TH DA SERRA",Funk Hits,50,37i9dQZF1DWTkIwO2HDifB,spotify:playlist:37i9dQZF1DWTkIwO2HDifB
0JQ5DAqbMKFCkm2Enfbj7Y,ou vc dança ou o grave t balança,funk challenge,67,37i9dQZF1DWSlRNWoWejBr,spotify:playlist:37i9dQZF1DWSlRNWoWejBr
0JQ5DAqbMKFCkm2Enfbj7Y,tuê e tutu filhos da noite empurrando o palio na marginal,creme,60,37i9dQZF1DX7f8PyAQL3rz,spotify:playlist:37i9dQZF1DX7f8PyAQL3rz
0JQ5DAqbMKFCkm2Enfbj7Y,"Liga a rapa e marcha no que é. Foto: Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha",Churrasquin dos Cria,50,37i9dQZF1DXa4pzcufmR8n,spotify:playlist:37i9dQZF1DXa4pzcufmR8n
0JQ5DAqbMKFCkm2Enfbj7Y,"A mistura dos dois gêneros que os brasileiros amam ouvir! Foto: DENNIS, Ana Castela, Mc Gw",Funknejo,50,37i9dQZF1DWZLiXDryu4Fe,spotify:playlist:37i9dQZF1DWZLiXDryu4Fe
0JQ5DAqbMKFCkm2Enfbj7Y,"O funk tá diferente, meu sócio. Vem pro som do bololô. Foto: Mc Davi, Mc Livinho, Mc Don Juan, Mc Phe Cachorrera, Mc PP da VS, MC G15, Mc Kelvinho, Mc Dricka, TrapLaudo, Mc Kadu, MC LUUKY, Mc Kanhoto, MC Kapela, Predella, Gaab, Perera DJ, iShowSpeed, DJ Glenner, Veiga no Beat",Revoada,55,37i9dQZF1DX4MdXmAY6EDq,spotify:playlist:37i9dQZF1DX4MdXmAY6EDq
0JQ5DAqbMKFCkm2Enfbj7Y,Novidades do Funk para incendiar o baile! Foto: Mac Júlia,Bonde do Funk,71,37i9dQZF1DWYYeOy9vs7I5,spotify:playlist:37i9dQZF1DWYYeOy9vs7I5
0JQ5DAqbMKFCkm2Enfbj7Y,O consciente que manda o papo reto. Foto: MC Kadu,Funk Consciente,65,37i9dQZF1DX9We8dK817NX,spotify:playlist:37i9dQZF1DX9We8dK817NX
0JQ5DAqbMKFCkm2Enfbj7Y,"MC Paulin da Capital, Mc Piedro, Dj GM, DJ WN, MC Ryan SP, Mc Daniel e mais artistas da cultura preta brasileira, puxando o bonde pra geral ganhar o mundo.",AMPLIFIKA,50,37i9dQZF1DX95vhptNy3YE,spotify:playlist:37i9dQZF1DX95vhptNy3YE
0JQ5DAqbMKFCkm2Enfbj7Y,ó mãe como a _______ ta no baile,FLUXO FORTE,63,37i9dQZF1DX6c9yVebnzyY,spotify:playlist:37i9dQZF1DX6c9yVebnzyY
0JQ5DAqbMKFCkm2Enfbj7Y,eh bruxaria eh phonk eh automotivo vish ESTORAMO SEU TÍMPANO ,BEAT AGRESSIVO,70,37i9dQZF1DWYzunN6t07GD,spotify:playlist:37i9dQZF1DWYzunN6t07GD
0JQ5DAqbMKFCkm2Enfbj7Y,Eu quero funk pra rebolar! Foto: Bianca,Funk Pop,55,37i9dQZF1DWW6EwN6CPxGO,spotify:playlist:37i9dQZF1DWW6EwN6CPxGO
0JQ5DAqbMKFCkm2Enfbj7Y,O consciente que manda o papo reto. Foto: MC Kadu,Funk Consciente,65,37i9dQZF1DX9We8dK817NX,spotify:playlist:37i9dQZF1DX9We8dK817NX
0JQ5DAqbMKFCkm2Enfbj7Y,Buscando a melhoria sempre. Foto: MC Leozinho ZS,Funk Venceu,63,37i9dQZF1DX2mPnuv6Mm80,spotify:playlist:37i9dQZF1DX2mPnuv6Mm80
0JQ5DAqbMKFCkm2Enfbj7Y,"A trilha da sarrada perfeita!  Foto: MC Jacaré, JS o Mão de Ouro, Thiaguinho MT",Brega Funk,50,37i9dQZF1DWZgZxLup5qYy,spotify:playlist:37i9dQZF1DWZgZxLup5qYy
0JQ5DAqbMKFCkm2Enfbj7Y,"O funk tá diferente, meu sócio. Vem pro som do bololô. Foto: Mc Davi, Mc Livinho, Mc Don Juan, Mc Phe Cachorrera, Mc PP da VS, MC G15, Mc Kelvinho, Mc Dricka, TrapLaudo, Mc Kadu, MC LUUKY, Mc Kanhoto, MC Kapela, Predella, Gaab, Perera DJ, iShowSpeed, DJ Glenner, Veiga no Beat",Revoada,55,37i9dQZF1DX4MdXmAY6EDq,spotify:playlist:37i9dQZF1DX4MdXmAY6EDq
0JQ5DAqbMKFCkm2Enfbj7Y,O melhor da mistura do Funk com beat eletrônico está aqui! Foto: DJ GBR,Rave Funk,50,37i9dQZF1DX1pl2bOU4cVI,spotify:playlist:37i9dQZF1DX1pl2bOU4cVI
0JQ5DAqbMKFCkm2Enfbj7Y,bonde do tubarão na tropa esqueça tudo,Tropa dos Brabo,70,37i9dQZF1DWTGaQ84g8alz,spotify:playlist:37i9dQZF1DWTGaQ84g8alz
0JQ5DAqbMKFCkm2Enfbj7Y,This is MC Marcinho. Todos os maiores hits em uma só playlist.,This Is MC Marcinho,50,37i9dQZF1DZ06evO2kABV1,spotify:playlist:37i9dQZF1DZ06evO2kABV1
0JQ5DAqbMKFCkm2Enfbj7Y,"sem romance pouco papo q hj nois ta a trabalho. Foto: Mac Júlia, MC NAHARA",BANDIDA PERVERSA,61,37i9dQZF1DWTSW6EnevZMi,spotify:playlist:37i9dQZF1DWTSW6EnevZMi
